# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABHD12	ENSG00000100997	ENST00000672001	processed_transcript	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
ABHD12	ENSG00000100997	ENST00000672114	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000672258	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000672331	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000672358	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000672406	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000672566	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000672596	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000672871	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000673121	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000673227	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000673524	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
AC005220.1	ENSG00000236352	ENST00000450473		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AC005914.1	ENSG00000287886	ENST00000663196		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AC006076.1	ENSG00000225563	ENST00000656184		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AC018688.1	ENSG00000275877	ENST00000614365	rRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AC018688.2	ENSG00000283443	ENST00000636528	unprocessed_pseudogene	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	1
ACSS1	ENSG00000154930	ENST00000323482	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
ACSS1	ENSG00000154930	ENST00000376726	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ACSS1	ENSG00000154930	ENST00000432802	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
ACSS1	ENSG00000154930	ENST00000537502	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACTG1P3	ENSG00000215388	ENST00000431775	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ADI1P1	ENSG00000235102	ENST00000438914	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
AHCY	ENSG00000101444	ENST00000217426	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AHCY	ENSG00000101444	ENST00000468908	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AHCY	ENSG00000101444	ENST00000473516	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AHCY	ENSG00000101444	ENST00000480653	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AHCY	ENSG00000101444	ENST00000538132	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AHCY	ENSG00000101444	ENST00000606061	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL009050.1	ENSG00000223410	ENST00000445278		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL021396.1	ENSG00000229766	ENST00000457707		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL021396.1	ENSG00000229766	ENST00000607924		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL021396.1	ENSG00000229766	ENST00000608601		0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1
AL021396.1	ENSG00000229766	ENST00000655912		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL021396.1	ENSG00000229766	ENST00000671251		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL023913.1	ENSG00000286936	ENST00000664194		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031055.1	ENSG00000271784	ENST00000606362		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4
AL031651.1	ENSG00000277550	ENST00000615357		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL031651.2	ENSG00000277829	ENST00000620019		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031663.2	ENSG00000237464	ENST00000417630		0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0
AL031665.1	ENSG00000274269	ENST00000619766		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031666.1	ENSG00000231119	ENST00000413818		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031666.3	ENSG00000273451	ENST00000609320		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031668.1	ENSG00000228386	ENST00000451556		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL031670.1	ENSG00000275582	ENST00000619343		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL031674.1	ENSG00000232294	ENST00000413070		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000421642		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000425279		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000448013		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000653245		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000653784		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000654945		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000655419		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000656343		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000659204		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000661304		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000661373		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000661421		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000661530		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000661770		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000662129		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000662618		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000663698		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000664050		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000666070		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000666117		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000668673		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000669032		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000669548		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031674.1	ENSG00000232294	ENST00000670088		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL031681.3	ENSG00000288000	ENST00000657241	protein_coding	0	0	1	2	0	0	1	0	0	2	0	0	0	0	0	0
AL031684.1	ENSG00000212165	ENST00000390863	snoRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL031685.1	ENSG00000199490	ENST00000362620	misc_RNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL031686.1	ENSG00000283757	ENST00000472805		0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1
AL031686.1	ENSG00000283757	ENST00000639819		0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0
AL034548.1	ENSG00000272874	ENST00000608495		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL034550.3	ENSG00000286311	ENST00000664871		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL035071.1	ENSG00000260257	ENST00000569087		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
AL035071.2	ENSG00000260536	ENST00000565572		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL035106.1	ENSG00000286159	ENST00000650933		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL035250.1	ENSG00000225129	ENST00000424662		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL035250.2	ENSG00000230352	ENST00000440889		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL035252.1	ENSG00000202414	ENST00000365544	misc_RNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL035252.2	ENSG00000225344	ENST00000440642	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL035419.1	ENSG00000213959	ENST00000397037	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
AL035447.1	ENSG00000287570	ENST00000668835		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL035448.1	ENSG00000236526	ENST00000439529		0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0
AL035458.2	ENSG00000250917	ENST00000512005		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL035461.4	ENSG00000286235	ENST00000652720	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0
AL035541.1	ENSG00000227297	ENST00000424850		0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0
AL035685.1	ENSG00000283529	ENST00000637341	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL049634.1	ENSG00000242324	ENST00000453770	unprocessed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL049634.2	ENSG00000260861	ENST00000564763	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL049634.2	ENSG00000260861	ENST00000566961	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1
AL049646.1	ENSG00000230010	ENST00000666293		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL049647.1	ENSG00000179447	ENST00000319682		0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1
AL049650.2	ENSG00000256566	ENST00000461548	nonsense_mediated_decay	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	1
AL049651.1	ENSG00000230492	ENST00000440798		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL049651.2	ENSG00000234646	ENST00000419734		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL049651.2	ENSG00000234646	ENST00000440921		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL049812.1	ENSG00000223651	ENST00000432563	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
AL049812.2	ENSG00000225458	ENST00000431589		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL050320.1	ENSG00000225956	ENST00000420044		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000448859		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000653164		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL050403.1	ENSG00000232900	ENST00000653414		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000654048		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000655050		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000655890		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000656524		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000656902		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000657181		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000657238		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000660168		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000662420		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000663360		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000663948		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000665099		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000665608		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000666969		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000667238		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL050403.1	ENSG00000232900	ENST00000668688		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL050403.2	ENSG00000270792	ENST00000603180		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL050403.2	ENSG00000270792	ENST00000603462		0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1
AL050403.2	ENSG00000270792	ENST00000603985		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
AL050403.2	ENSG00000270792	ENST00000605292		0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0
AL050403.2	ENSG00000270792	ENST00000667822		0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0
AL050404.1	ENSG00000232358	ENST00000424566		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL079338.1	ENSG00000286546	ENST00000656724		0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0
AL080248.1	ENSG00000238102	ENST00000428954		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL080248.1	ENSG00000238102	ENST00000661779		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL080248.1	ENSG00000238102	ENST00000668144		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL080248.1	ENSG00000238102	ENST00000668728		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL096799.1	ENSG00000232271	ENST00000425900		0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
AL096828.6	ENSG00000287324	ENST00000665943		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL109754.1	ENSG00000276525	ENST00000614195	misc_RNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL109807.1	ENSG00000238034	ENST00000438222		0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0
AL109809.4	ENSG00000286288	ENST00000447206		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL109809.4	ENSG00000286288	ENST00000654380		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL109809.4	ENSG00000286288	ENST00000658107		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL109809.4	ENSG00000286288	ENST00000661517		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL109809.4	ENSG00000286288	ENST00000671643		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL109824.1	ENSG00000286803	ENST00000655046		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL109827.1	ENSG00000272897	ENST00000441563	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
AL109827.1	ENSG00000272897	ENST00000454607	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
AL109827.1	ENSG00000272897	ENST00000541176	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
AL109829.1	ENSG00000287478	ENST00000661549		0	0	0	5	0	0	0	1	0	4	0	0	0	0	0	0
AL109837.1	ENSG00000271397	ENST00000603272	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL109837.2	ENSG00000282478	ENST00000632608		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL109838.1	ENSG00000235292	ENST00000654812		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL109839.1	ENSG00000252021	ENST00000516212	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL109840.2	ENSG00000285091	ENST00000644133		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL109930.1	ENSG00000271774	ENST00000606932		0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0
AL109954.2	ENSG00000260202	ENST00000619495		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL109954.3	ENSG00000276638	ENST00000615088		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL110114.1	ENSG00000286787	ENST00000664648		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL117335.1	ENSG00000276649	ENST00000620919		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL117372.1	ENSG00000276627	ENST00000613711		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL117372.1	ENSG00000276627	ENST00000651345		0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1
AL117372.1	ENSG00000276627	ENST00000653900		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
AL117372.1	ENSG00000276627	ENST00000666054		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
AL118520.1	ENSG00000231034	ENST00000450770	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121581.2	ENSG00000286999	ENST00000660961		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121582.1	ENSG00000287062	ENST00000656415		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
AL121584.1	ENSG00000225181	ENST00000453972		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121723.1	ENSG00000224628	ENST00000445194	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121747.1	ENSG00000206797	ENST00000384070	misc_RNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121753.1	ENSG00000261582	ENST00000444717	nonsense_mediated_decay	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
AL121753.2	ENSG00000279253	ENST00000624581	TEC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121757.2	ENSG00000266908	ENST00000587737		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121757.2	ENSG00000266908	ENST00000660590		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL121757.2	ENSG00000266908	ENST00000661981		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL121757.2	ENSG00000266908	ENST00000668370		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL121757.2	ENSG00000266908	ENST00000668553		0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0
AL121762.2	ENSG00000286483	ENST00000655308		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121772.1	ENSG00000274414	ENST00000618303		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL121781.1	ENSG00000238282	ENST00000419863		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL121827.2	ENSG00000275620	ENST00000612722		0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1
AL121830.1	ENSG00000232675	ENST00000435992		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121830.1	ENSG00000232675	ENST00000593770		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121830.1	ENSG00000232675	ENST00000598694		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121830.1	ENSG00000232675	ENST00000600889		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121830.1	ENSG00000232675	ENST00000608187	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121830.1	ENSG00000232675	ENST00000608476		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121830.1	ENSG00000232675	ENST00000609610		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121830.1	ENSG00000232675	ENST00000609846		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121845.1	ENSG00000229299	ENST00000433905		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121845.1	ENSG00000229299	ENST00000447343		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121845.2	ENSG00000273047	ENST00000467211	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121845.2	ENSG00000273047	ENST00000476221	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121845.3	ENSG00000273154	ENST00000490623	nonsense_mediated_decay	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0
AL121845.3	ENSG00000273154	ENST00000496820	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121845.3	ENSG00000273154	ENST00000632538	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121845.4	ENSG00000274501	ENST00000613401		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121888.1	ENSG00000286063	ENST00000651871		0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
AL121888.2	ENSG00000288083	ENST00000668815		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121890.1	ENSG00000234573	ENST00000435457	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121890.4	ENSG00000277425	ENST00000616569		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121890.5	ENSG00000278816	ENST00000620848		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL121892.1	ENSG00000236985	ENST00000422574		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL121894.3	ENSG00000286117	ENST00000650975		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL121894.3	ENSG00000286117	ENST00000652804		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL121894.3	ENSG00000286117	ENST00000653302		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121894.3	ENSG00000286117	ENST00000657240		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL121894.3	ENSG00000286117	ENST00000668241		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121897.1	ENSG00000287850	ENST00000655202		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121899.2	ENSG00000286022	ENST00000651531	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL121899.3	ENSG00000287213	ENST00000661904		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL121900.1	ENSG00000284776	ENST00000618693	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0
AL121901.1	ENSG00000224876	ENST00000419613		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
AL121908.1	ENSG00000238194	ENST00000443055		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121908.1	ENSG00000238194	ENST00000451510		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121908.1	ENSG00000238194	ENST00000663583		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121908.1	ENSG00000238194	ENST00000668717		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AL121910.1	ENSG00000229755	ENST00000420710		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL122058.1	ENSG00000226308	ENST00000412321		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
AL132655.3	ENSG00000270279	ENST00000603095		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
AL132765.1	ENSG00000230495	ENST00000434165	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
